Nutrient,Age_Group,Male,Female,Pregnant,Lactating,Unit,Source,Source_Links,Footnotes,Nutrient_Notes
Choline,4–8 years,250,250,,,mg,ODS Choline Factsheet,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,*AI,
Choline,7–12 months,150,150,,,mg,ODS Choline Factsheet,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,*AI,
Choline,9–13 years,375,375,,,mg,ODS Choline Factsheet,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,*AI,
Choline,Birth to 6 months,125,125,,,mg,ODS Choline Factsheet,https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/,*AI,
Chromium,14–18 years,35,24,29,44,mcg,ODS Chromium Factsheet,https://ods.od.nih.gov/factsheets/Chromium-HealthProfessional/,*AI,
Chromium,19–50 years,35,25,30,45,mcg,ODS Chromium Factsheet,https://ods.od.nih.gov/factsheets/Chromium-HealthProfessional/,*AI,
Chromium,1–3 years,11,11,,,mcg,ODS Chromium Factsheet,https://ods.od.nih.gov/factsheets/Chromium-HealthProfessional/,*AI,
Chromium,4–8 years,15,15,,,mcg,ODS Chromium Factsheet,https://ods.od.nih.gov/factsheets/Chromium-HealthProfessional/,*AI,
Chromium,51+ years,30,20,,,mcg,ODS Chromium Factsheet,https://ods.od.nih.gov/factsheets/Chromium-HealthProfessional/,*AI,
Chromium,7–12 months,5.5,5.5,,,mcg,ODS Chromium Factsheet,https://ods.od.nih.gov/factsheets/Chromium-HealthProfessional/,*AI,
Chromium,9–13 years,25,21,,,mcg,ODS Chromium Factsheet,https://ods.od.nih.gov/factsheets/Chromium-HealthProfessional/,*AI,
Chromium,Birth to 6 months,0.2,0.2,,,mcg,ODS Chromium Factsheet,https://ods.od.nih.gov/factsheets/Chromium-HealthProfessional/,*AI,
Cobalt,19+ years,5,5,5,5,mcg,Research estimate,,As part of vitamin B12,
Coenzyme Q10,14–18 years,85.0,85.0,93.5,102.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Coenzyme Q10,19+ years,100,100,100,100,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Cardiovascular health studies,
Coenzyme Q10,19–30 years,100.0,100.0,110.0,120.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Coenzyme Q10,1–3 years,35.0,35.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Coenzyme Q10,31–50 years,100.0,100.0,110.0,120.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Coenzyme Q10,4–8 years,50.0,50.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Coenzyme Q10,51–70 years,90.0,90.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Coenzyme Q10,70+ years,85.0,85.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Coenzyme Q10,7–12 months,25.0,25.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Coenzyme Q10,9–13 years,70.0,70.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Coenzyme Q10,Birth to 6 months,15.0,15.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Collagen,14–18 years,8500.0,8500.0,9350.0,10200.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Collagen,19+ years,10000,10000,10000,10000,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Structural protein,
Collagen,19–30 years,10000.0,10000.0,11000.0,12000.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Collagen,1–3 years,3500.0,3500.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Collagen,31–50 years,10000.0,10000.0,11000.0,12000.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Collagen,4–8 years,5000.0,5000.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Collagen,51–70 years,9000.0,9000.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Collagen,70+ years,8500.0,8500.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Collagen,7–12 months,2500.0,2500.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Collagen,9–13 years,7000.0,7000.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Collagen,Birth to 6 months,1500.0,1500.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Copper,14–18 years,890,890,1000,1300,mcg,ODS Copper Factsheet,https://ods.od.nih.gov/factsheets/Copper-HealthProfessional/,,
Copper,19+ years,900,900,1000,1300,mcg,ODS Copper Factsheet,https://ods.od.nih.gov/factsheets/Copper-HealthProfessional/,,
Copper,1–3 years,340,340,,,mcg,ODS Copper Factsheet,https://ods.od.nih.gov/factsheets/Copper-HealthProfessional/,,
Copper,4–8 years,440,440,,,mcg,ODS Copper Factsheet,https://ods.od.nih.gov/factsheets/Copper-HealthProfessional/,,
Copper,7–12 months,220,220,,,mcg,ODS Copper Factsheet,https://ods.od.nih.gov/factsheets/Copper-HealthProfessional/,*AI,
Copper,9–13 years,700,700,,,mcg,ODS Copper Factsheet,https://ods.od.nih.gov/factsheets/Copper-HealthProfessional/,,
Copper,Birth to 6 months,200,200,,,mcg,ODS Copper Factsheet,https://ods.od.nih.gov/factsheets/Copper-HealthProfessional/,*AI,
Curcumin,14–18 years,425.0,425.0,467.5,510.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Curcumin,19+ years,500,500,500,500,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Anti-inflammatory studies,
Curcumin,19–30 years,500.0,500.0,550.0,600.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Curcumin,1–3 years,175.0,175.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Curcumin,31–50 years,500.0,500.0,550.0,600.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Curcumin,4–8 years,250.0,250.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Curcumin,51–70 years,450.0,450.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Curcumin,70+ years,425.0,425.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Curcumin,7–12 months,125.0,125.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Curcumin,9–13 years,350.0,350.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Curcumin,Birth to 6 months,75.0,75.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Cysteine,19+ years,CS,CS,CS,CS,mg,Conditionally essential,,,Can be synthesized by the body. requirements increase during stress/illness
Dietary Fiber,14–18 years,38,26,28,29,g,DRI for Fiber,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Dietary Fiber,19–50 years,38,25,28,29,g,DRI for Fiber,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Dietary Fiber,1–3 years,19,19,,,g,DRI for Fiber,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Dietary Fiber,4–8 years,25,25,,,g,DRI for Fiber,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Dietary Fiber,51+ years,30,21,,,g,DRI for Fiber,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Dietary Fiber,7–12 months,ND,ND,,,g,DRI for Fiber,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,Not determined for infants,
Dietary Fiber,9–13 years,31,26,,,g,DRI for Fiber,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,*AI,
Dietary Fiber,Birth to 6 months,ND,ND,,,g,DRI for Fiber,https://www.nationalacademies.org/our-work/dietary-reference-intakes-for-energy-carbohydrate-fiber-fat-fatty-acids-cholesterol-protein-and-amino-acids,Not determined for infants,
EGCG,14–18 years,255.0,255.0,280.5,306.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
EGCG,19+ years,300,300,300,300,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Green tea studies,
EGCG,19–30 years,300.0,300.0,330.0,360.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
EGCG,1–3 years,105.0,105.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
EGCG,31–50 years,300.0,300.0,330.0,360.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
EGCG,4–8 years,150.0,150.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
EGCG,51–70 years,270.0,270.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
EGCG,70+ years,255.0,255.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
EGCG,7–12 months,75.0,75.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
EGCG,9–13 years,210.0,210.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
EGCG,Birth to 6 months,45.0,45.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Flavonoids,14–18 years,425.0,425.0,467.5,510.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Flavonoids,19+ years,500,500,500,500,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Total flavonoid intake,
Flavonoids,19–30 years,500.0,500.0,550.0,600.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Flavonoids,1–3 years,175.0,175.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Flavonoids,31–50 years,500.0,500.0,550.0,600.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Flavonoids,4–8 years,250.0,250.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Flavonoids,51–70 years,450.0,450.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Flavonoids,70+ years,425.0,425.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Flavonoids,7–12 months,125.0,125.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Flavonoids,9–13 years,350.0,350.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Flavonoids,Birth to 6 months,75.0,75.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Fluoride,14–18 years,3,3,3,3,mg,ODS Fluoride Factsheet,https://ods.od.nih.gov/factsheets/Fluoride-HealthProfessional/,*AI,Primarily for dental health. excess can cause fluorosis
Fluoride,19+ years,4,3,3,3,mg,ODS Fluoride Factsheet,https://ods.od.nih.gov/factsheets/Fluoride-HealthProfessional/,*AI,Primarily for dental health. excess can cause fluorosis
Fluoride,1–3 years,0.7,0.7,,,mg,ODS Fluoride Factsheet,https://ods.od.nih.gov/factsheets/Fluoride-HealthProfessional/,*AI,Primarily for dental health. excess can cause fluorosis
Fluoride,4–8 years,1,1,,,mg,ODS Fluoride Factsheet,https://ods.od.nih.gov/factsheets/Fluoride-HealthProfessional/,*AI,Primarily for dental health. excess can cause fluorosis
Fluoride,7–12 months,0.5,0.5,,,mg,ODS Fluoride Factsheet,https://ods.od.nih.gov/factsheets/Fluoride-HealthProfessional/,*AI,Primarily for dental health. excess can cause fluorosis
Fluoride,9–13 years,2,2,,,mg,ODS Fluoride Factsheet,https://ods.od.nih.gov/factsheets/Fluoride-HealthProfessional/,*AI,Primarily for dental health. excess can cause fluorosis
Fluoride,Birth to 6 months,0.01,0.01,,,mg,ODS Fluoride Factsheet,https://ods.od.nih.gov/factsheets/Fluoride-HealthProfessional/,*AI,Primarily for dental health. excess can cause fluorosis
Folate,14–18 years,400,400,600,500,mcg DFE,ODS Folate Factsheet,https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/,,
Folate,19+ years,400,400,600,500,mcg DFE,ODS Folate Factsheet,https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/,,
Folate,1–3 years,150,150,,,mcg DFE,ODS Folate Factsheet,https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/,,
Folate,4–8 years,200,200,,,mcg DFE,ODS Folate Factsheet,https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/,,
Folate,7–12 months,80,80,,,mcg DFE,ODS Folate Factsheet,https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/,*AI,
Folate,9–13 years,300,300,,,mcg DFE,ODS Folate Factsheet,https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/,,
Folate,Birth to 6 months,65,65,,,mcg DFE,ODS Folate Factsheet,https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/,*AI,
Glucosamine,14–18 years,1275.0,1275.0,1402.5,1530.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Glucosamine,19+ years,1500,1500,1500,1500,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Joint health studies,
Glucosamine,19–30 years,1500.0,1500.0,1650.0,1800.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Glucosamine,1–3 years,525.0,525.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Glucosamine,31–50 years,1500.0,1500.0,1650.0,1800.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Glucosamine,4–8 years,750.0,750.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Glucosamine,51–70 years,1350.0,1350.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Glucosamine,70+ years,1275.0,1275.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Glucosamine,7–12 months,375.0,375.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Glucosamine,9–13 years,1050.0,1050.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Glucosamine,Birth to 6 months,225.0,225.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Glutamic Acid,19+ years,CS,CS,CS,CS,mg,Conditionally essential,,,Can be synthesized by the body. requirements increase during stress/illness
Glutamine,19+ years,CS,CS,CS,CS,mg,Conditionally essential,,,Can be synthesized by the body. requirements increase during stress/illness
Glycine,19+ years,CS,CS,CS,CS,mg,Conditionally essential,,,Can be synthesized by the body. requirements increase during stress/illness
Histidine,14–18 years,630,540,594.0,648.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Histidine,19–50 years,700,570,627.0,684.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Histidine,1–3 years,120,120,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Histidine,4–8 years,200,200,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Histidine,51+ years,700,570,627.0,684.0,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Histidine,7–12 months,90,90,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Histidine,9–13 years,400,400,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Histidine,Birth to 6 months,60,60,,,mg/kg body weight,WHO/FAO amino acid requirements,https://www.who.int/publications/i/item/9789241209359,,
Inositol,14–18 years,425.0,425.0,467.5,510.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inositol,19+ years,500,500,500,500,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Cell membrane function,
Inositol,19–30 years,500.0,500.0,550.0,600.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inositol,1–3 years,175.0,175.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inositol,31–50 years,500.0,500.0,550.0,600.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inositol,4–8 years,250.0,250.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inositol,51–70 years,450.0,450.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inositol,70+ years,425.0,425.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inositol,7–12 months,125.0,125.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inositol,9–13 years,350.0,350.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inositol,Birth to 6 months,75.0,75.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inulin,14–18 years,4250.0,4250.0,4675.0,5100.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inulin,19+ years,5000,5000,5000,5000,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Prebiotic fiber,
Inulin,19–30 years,5000.0,5000.0,5500.0,6000.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inulin,1–3 years,1750.0,1750.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inulin,31–50 years,5000.0,5000.0,5500.0,6000.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inulin,4–8 years,2500.0,2500.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inulin,51–70 years,4500.0,4500.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inulin,70+ years,4250.0,4250.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inulin,7–12 months,1250.0,1250.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inulin,9–13 years,3500.0,3500.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Inulin,Birth to 6 months,750.0,750.0,,,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Iodine,14–18 years,150,150,220,290,mcg,ODS Iodine Factsheet,https://ods.od.nih.gov/factsheets/Iodine-HealthProfessional/,,
Iodine,19+ years,150,150,220,290,mcg,ODS Iodine Factsheet,https://ods.od.nih.gov/factsheets/Iodine-HealthProfessional/,,
Iodine,1–3 years,90,90,,,mcg,ODS Iodine Factsheet,https://ods.od.nih.gov/factsheets/Iodine-HealthProfessional/,,
Iodine,4–8 years,90,90,,,mcg,ODS Iodine Factsheet,https://ods.od.nih.gov/factsheets/Iodine-HealthProfessional/,,
Iodine,7–12 months,130,130,,,mcg,ODS Iodine Factsheet,https://ods.od.nih.gov/factsheets/Iodine-HealthProfessional/,*AI,
Iodine,9–13 years,120,120,,,mcg,ODS Iodine Factsheet,https://ods.od.nih.gov/factsheets/Iodine-HealthProfessional/,,
Iodine,Birth to 6 months,110,110,,,mcg,ODS Iodine Factsheet,https://ods.od.nih.gov/factsheets/Iodine-HealthProfessional/,*AI,
Iron,14–18 years,11,15,27,10,mg,ODS Iron Factsheet,https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,,"Absorption enhanced by vitamin C and hindered by calcium, tea, and coffee"
Iron,19–50 years,8,18,27,9,mg,ODS Iron Factsheet,https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,,"Absorption enhanced by vitamin C and hindered by calcium, tea, and coffee"
Iron,1–3 years,7,7,,,mg,ODS Iron Factsheet,https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,,"Absorption enhanced by vitamin C and hindered by calcium, tea, and coffee"
Iron,4–8 years,10,10,,,mg,ODS Iron Factsheet,https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,,"Absorption enhanced by vitamin C and hindered by calcium, tea, and coffee"
Iron,51+ years,8,8,,,mg,ODS Iron Factsheet,https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,,"Absorption enhanced by vitamin C and hindered by calcium, tea, and coffee"
Iron,7–12 months,11,11,,,mg,ODS Iron Factsheet,https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,,"Absorption enhanced by vitamin C and hindered by calcium, tea, and coffee"
Iron,9–13 years,8,8,,,mg,ODS Iron Factsheet,https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,,"Absorption enhanced by vitamin C and hindered by calcium, tea, and coffee"
Iron,Birth to 6 months,0.27,0.27,,,mg,ODS Iron Factsheet,https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/,*AI,"Absorption enhanced by vitamin C and hindered by calcium, tea, and coffee"
Isoflavones,14–18 years,21.2,21.2,23.4,25.5,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
Isoflavones,19+ years,25,25,25,25,mg,Research-based,Multiple peer-reviewed studies and clinical trials,Soy intake studies,
Isoflavones,19–30 years,25.0,25.0,27.5,30.0,mg,Optimal Diet Analysis,Calculated from optimal diet pattern analysis,Scaled from adult values based on caloric needs and body weight,Calculated from optimal diet analysis across lifespan
